Date,Activity,Details,Duration (min),Distance (m),Time of Day (hh:mm),Intensity Rating (1-10),Body Weight (kg)
09/10/2023,Swimming,Breatstroke,30,550,08:00,8,74.1
10/10/2023,Rest,,,,,,
11/10/2023,Gym,Chest,90,,18:00,8,
12/10/2023,Gym,Legs,120,,18:00,7,
13/10/2023,Swimming,Breaststroke,30,650,08:00,7,
14/10/2023,Running,Short run,36,6470,10:30,8,
15/10/2023,Rest,,,,,,
16/10/2023,Swimming,Breatstroke / Frontcrawl,30,700,08:00,7,
16/10/2023,Gym,Chest,90,,17:00,6,
17/10/2023,Rest,,,,,,
18/10/2023,Swimming,Breaststroke / Frontcrawl,40,900,07:50,7,
18/10/2023,Gym,Back,90,,17:30,,
19/10/2023,Swimming,Breastroke / Frontcrawl,40,800,08:00,6,
19/10/2023,Gym,Legs,90,,17:45,9,
20/10/2023,Rest,,,,,,
21/10/2023,Running,Short run,34,6260,09:50,7,
22/10/2023,Gym,Legs / Shoulders,90,,14:00,6,
23/10/2023,Swimming,Breatstroke,40,800,08:00,6,74.5
23/10/2023,Gym,Chest,60,,18:00,8,
24/10/2023,Rest,,,,,,
25/10/2023,Swimming,Breaststroke / Frontcrawl,40,500,08:00,6,
26/10/2023,Swimming,Breaststroke,30,700,08:10,7,
26/10/2023,Gym,Back,70,,16:30,6,
27/10/2023,Rest,,,,,,
28/10/2023,Running ,Short run ,35,6340,10:48,9,
28/10/2023,Gym,Shoulders / Arms,90,,17:00,7,
29/10.2023,Gym,Legs,90,,,8,
30/10/2023,Swimming,Breaststroke / Frontcrawl,30,750,08:00,7,
30/10/2023,Gym,Chest / Triceps,80,,17:30,7,74.9
